タイトル,フォルダ,科目名,講義名,サブタイトル,担当研究室,担当教員,分野,科目群,単位数,教育課程,対象学年,開講期間,曜日・時限,キャンパス
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅱ,基礎実習Ⅱ,"基礎実習Ⅱ
                テキスタイル（シルクスクリーン捺染実習）
                4～6授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子、竹内　優美,専門Ⅰ類,Ⅰ必,2.0,学部,1年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅱ,基礎実習Ⅱ,"基礎実習Ⅱ
                （道具の意味と使い方）
                4～6授業週 〈2単位 実技〉
                田中桂太、中原俊三郎、稲田真一",工芸工業デザイン学科,田中　桂太、中原　俊三郎、稲田　真一,専門Ⅰ類,Ⅰ必,2.0,学部,1年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅱ,基礎実習Ⅱ,"基礎実習Ⅱ
                BIRD HOUSE
                4～6授業週 〈2単位 実技〉
                山中一宏、伊藤真一",工芸工業デザイン学科,山中　一宏、伊藤　真一,専門Ⅰ類,Ⅰ必,2.0,学部,1年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                金工
                7〜9授業週 〈2単位 実技〉
                鈴木 洋、高橋勇一郎",工芸工業デザイン学科,鈴木　洋、高橋　勇一郎,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                木工（スツールのデザインと制作）
                7〜9授業週 〈2単位 実技〉
                十時啓悦、神藤 修",工芸工業デザイン学科,北川　八十治、藤井　常雄、神藤　修,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                陶磁
                〈2単位 実技〉",工芸工業デザイン学科,西川　聡、熊谷　幸治,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                ガラス
                7〜9授業週 〈2単位 実技〉
                大村俊二、鈴木伊美",工芸工業デザイン学科,大村　俊二、鈴木　伊美,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                テキスタイル（シルクスクリーン捺染実習）
                7～9授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子、竹内　優美,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅲ
                動くかたち
                7〜9授業週 〈2単位 実技〉
                稲田真一、中原俊三郎、田中桂太、",工芸工業デザイン学科,稲田　真一、中原　俊三郎、田中　桂太,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅲ,基礎実習Ⅲ,"基礎実習Ⅰ
                座る形のデザイン－行為・素材・構造
                1～3授業週 〈2単位 実技〉
                伊藤真一、山中　一宏",工芸工業デザイン学科,伊藤　真一、山中　一宏,専門Ⅰ類,Ⅰ必,2.0,学部,1年,２期 2021/05/10-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                金工
                16〜18授業週 〈2単位 実技〉
                鈴木 洋、高橋勇一郎",工芸工業デザイン学科,鈴木　洋、高橋　勇一郎,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                木工（スツールのデザインと制作）
                16〜18授業週 〈2単位 実技〉
                十時啓悦、神藤 修、田代 真",工芸工業デザイン学科,熊野　亘、田代　真、神藤　修,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                陶磁
                〈2単位 実技〉
                西川 聡、磯谷 慶子",工芸工業デザイン学科,西川　聡、田中　啓一,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                ガラス
                17〜19授業週 〈2単位 実技〉
                大村俊二、鈴木伊美",工芸工業デザイン学科,大村　俊二、鈴木　伊美,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                テキスタイル（シルクスクリーン捺染実習）
                17～19授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子、竹内　優美,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                Gift Design～想いをかたちに
                16〜18授業週 〈2単位 実技〉
                中原俊三郎、稲田真一、田中桂太",工芸工業デザイン学科,中原　俊三郎、稲田　真一、田中　桂太,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,基礎実習Ⅳ,基礎実習Ⅳ,"基礎実習Ⅳ
                BIRD HOUSE
                16〜18授業週 〈2単位 実技〉
                山中 一宏, 伊藤 真一",工芸工業デザイン学科,山中　一宏、伊藤　真一,専門Ⅰ類,Ⅰ必,2.0,学部,1年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅠ,クラフトデザインⅠ,"クラフトデザインⅠ［2年］
                金工（彫金技法実習）
                16〜19授業週 〈2単位 実技〉
                鈴木 洋、周防絵美子",工芸工業デザイン学科,鈴木　洋、周防　絵美子,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅠ,クラフトデザインⅠ,"クラフトデザインⅠ［2年］
                木工（オブジェのデザインと制作）
                16〜19授業週 〈2単位 実技〉
                十時啓悦、北川八十治、田代 真",工芸工業デザイン学科,熊野　亘、田代　真、北川　八十治,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅠ,クラフトデザインⅠ,"クラフトデザインⅠ［2年］
                陶磁
                〈2単位 実技〉",工芸工業デザイン学科,西川　聡、岡本　玲子、田中　啓一,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅠ,クラフトデザインⅠ,"クラフトデザインⅠ［2年］
                ガラス 基礎技法Ⅰ（ホットワークⅠ・バーナーワーク）
                17～20授業週 〈2単位 実技〉
                大村俊二",工芸工業デザイン学科,大村　俊二,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅠ,クラフトデザインⅠ,"クラフトデザインⅠ［2年］
                テキスタイル
                17～20授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子、シミズダニ　ヤスノブ、後藤　大樹,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅠ,インダストリアルデザインⅠ,"インダストリアルデザインⅠ［2年］
                プロダクトデザイン・ゼミ（カタチの発想と展開）
                15～18授業週 〈2単位 実技〉
                中原俊三郎、田中桂太",工芸工業デザイン学科,中原　俊三郎、田中　桂太,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅠ,インダストリアルデザインⅠ,"インダストリアルデザインⅠ［2年］
                モビリティーデザイン・ゼミ
                (パッケージング入門編）
                15～18授業週 〈2単位 実技〉
                稲田　真一",工芸工業デザイン学科,稲田　真一,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インテリアデザインⅠ,インテリアデザインⅠ,"インテリアデザインⅠ［2年］
                照明の形と効果
                16～19授業週 〈2単位 実技〉
                伊藤　真一,山中　一宏",工芸工業デザイン学科,伊藤　真一、山中　一宏,専門Ⅰ類,Ⅰ選,2.0,学部,2年,４期 2021/09/06-2021/10/02,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅡ,クラフトデザインⅡ,"クラフトデザインⅡ［2年］
                金工（彫金技法実習２）
                20〜23授業週 〈2単位 実技〉
                鈴木 洋",工芸工業デザイン学科,鈴木　洋、岩田　綾,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅡ,クラフトデザインⅡ,"クラフトデザインⅡ［2年］
                木工（道具箱の制作と技術修得）
                20〜23授業週 〈2単位 実技〉
                十時啓悦、北川八十治、神藤 修",工芸工業デザイン学科,熊野　亘、北川　八十治、神藤　修,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅡ,クラフトデザインⅡ,"クラフトデザインⅡ［2年］
                陶磁
                〈2単位 実技〉",工芸工業デザイン学科,西川　聡、岡本　玲子、田中　啓一,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅡ,クラフトデザインⅡ,"クラフトデザインⅡ［2年］
                ガラス 基礎技法Ⅱ（キルンワークⅠ）
                18～21授業週 〈2単位 実技〉
                大村俊二 、丸岡勇太",工芸工業デザイン学科,大村　俊二、丸岡　勇太,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅡ,クラフトデザインⅡ,"クラフトデザインⅡ［2年］
                テキスタイル
                21～24授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子、徂徠　友香子,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅢ,クラフトデザインⅢ,"クラフトデザインⅢ［2年］
                金工（金工応用技法実習）
                24〜27授業週 〈2単位 実技〉
                鈴木　洋、岩田　綾",工芸工業デザイン学科,鈴木　洋、岩田　綾,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅢ,クラフトデザインⅢ,"クラフトデザインⅢ［2年］
                木工（小椅子のデザインと制作）
                24〜27授業週 〈2単位 実技〉
                十時啓悦、北川八十治、田代 真",工芸工業デザイン学科,熊野　亘、北川　八十治、田代　真,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅢ,クラフトデザインⅢ,"クラフトデザインⅢ［2年］
                陶磁
                〈2単位 実技〉",工芸工業デザイン学科,西川　聡、岡本　玲子、田中　啓一,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅢ,クラフトデザインⅢ,"クラフトデザインⅢ［2年］
                ガラス 基礎技法Ⅲ（キルンワークⅡ・コールドワーク）
                22～26授週 〈2単位 実技〉
                大村俊二、丸岡勇太",工芸工業デザイン学科,大村　俊二、丸岡　勇太,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅢ,クラフトデザインⅢ,"クラフトデザインⅢ［2年］
                テキスタイル
                25～28授業週 〈2単位 実技〉",工芸工業デザイン学科,高橋　理子,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ（option-1）［3年］
                金工（鍛鉄技法実習）
                1〜7授業週 〈3単位 実技〉
                鈴木 洋、小峰貴芳、高橋勇一郎",工芸工業デザイン学科,鈴木　洋、小峰　貴芳、高橋　勇一郎,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ［3年］
                木工（収納家具計画）
                1〜7授業週 〈3単位 実技〉
                十時啓悦、田淵 滋",工芸工業デザイン学科,北川　八十治、田淵　滋,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ［3年］
                陶磁
                〈3単位 実技〉",工芸工業デザイン学科,西川　聡、岡本　玲子、熊谷　幸治,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ［3年］
                ガラス 表現技法研究Ⅰ（デザインワーク、キルンワークⅢ）
                1～6授業週 〈3単位 実技〉
                大村俊二、近岡令、五十嵐智一、井上剛",工芸工業デザイン学科,大村　俊二、近岡　令、五十嵐　智一、井上　剛,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ［3年］
                テキスタイル
                1～6授業週 〈3単位 実技〉",工芸工業デザイン学科,高橋　理子、徂徠　友香子、光主　あゆみ,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅣ,クラフトデザインⅣ,"クラフトデザインⅣ（option-2）［3年］
                金工（Basic Jewellery Making）
                1〜7授業週 〈3単位 実技〉
                鈴木 洋、周防絵美子",工芸工業デザイン学科,鈴木　洋,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅤ,クラフトデザインⅤ,"クラフトデザインⅤ［3年］
                金工（fairy tale）
                8〜13授業週 〈3単位 実技〉
                鈴木 洋、周防絵美子、高橋勇一郎",工芸工業デザイン学科,鈴木　洋、高橋　勇一郎、周防　絵美子,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅤ,クラフトデザインⅤ,"クラフトデザインⅤ［3年］
                木工（収納家具の制作）
                8〜13授業週 〈3単位 実技〉
                十時啓悦",工芸工業デザイン学科,北川　八十治、藤井　常雄、宗像　重幸,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅤ,クラフトデザインⅤ,"クラフトデザインⅤ［3年］
                陶磁
                〈3単位 実技〉",工芸工業デザイン学科,西川　聡、萩原　千春、熊谷　幸治,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅤ,クラフトデザインⅤ,"クラフトデザインⅤ［3年］
                ガラス 表現技法研究Ⅱ（ホットワークⅡ）
                7～12授業週 〈3単位 実技〉
                大村俊二、五十嵐智一",工芸工業デザイン学科,大村　俊二、五十嵐　智一,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅤ,クラフトデザインⅤ,"クラフトデザインⅤ［3年］
                テキスタイル
                2nd Skin 【身体】
                7～12授業週 〈3単位 実技〉",工芸工業デザイン学科,高橋　理子、徂徠　友香子、シミズダニ　ヤスノブ,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅡ,インダストリアルデザインⅡ,"インダストリアルデザインⅡ［2年］
                プロダクトデザイン・ゼミ（機能と造形）
                19〜22授業週 〈2単位 実技〉
                中原俊三郎、田中桂太",工芸工業デザイン学科,中原　俊三郎、田中　桂太,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅡ,インダストリアルデザインⅡ,"インダストリアルデザインⅡ［2年］
                モビリティーデザイン・ゼミ
                (パッケージング入門編）
                19〜22授業週 〈2単位 実技〉
                稲田真一",工芸工業デザイン学科,稲田　真一,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅢ,インダストリアルデザインⅢ,"インダストリアルデザインⅢ［2年］ 
                造形演習 C（デジタル演習）
                23～27授業週 〈2単位 実技〉
                田中桂太、稲田真一、中原俊三郎",工芸工業デザイン学科,田中　桂太、稲田　真一、中原　俊三郎,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅣ,インダストリアルデザインⅣ,"インダストリアルデザインⅤ［3年］
                プロダクトインターフェース
                6～9授業週 〈3単位 実技〉
                田中桂太、中原俊三郎、守田文雄（非常勤講師）",工芸工業デザイン学科,田中　桂太、中原　俊三郎,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅣ,インダストリアルデザインⅣ,"インダストリアルデザインⅣ［3年］
                問題解決とデザイン
                10～13授業週 〈3単位 実技〉
                中原俊三郎、田中桂太",工芸工業デザイン学科,中原　俊三郎、田中　桂太,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅣ,インダストリアルデザインⅣ,"インダストリアルデザインⅣ［3年］
                ライフスタイルデザイン
                1～5授業週 〈3単位 実技〉
                中原俊三郎、田中桂太、小倉良介",工芸工業デザイン学科,中原　俊三郎、田中　桂太、小倉　良介,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅣ,インダストリアルデザインⅣ,"インダストリアルデザインⅣ[３年]
                モビリティーデザイン・ゼミ
                (パッケージング基礎編）
                1～4授業週〈３単位 実技〉
                稲田真一",工芸工業デザイン学科,稲田　真一,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅣ,インダストリアルデザインⅣ,"インダストリアルデザインⅣ[３年]
                モビリティーデザイン・ゼミ
                (パッケージング応用編）
                5～9授業週〈３単位　実技〉
                稲田真一、服部幹",工芸工業デザイン学科,稲田　真一、服部　幹,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅤ,インダストリアルデザインⅤ,"インダストリアルデザインⅤ［3年］
                プロダクトインターフェース
                10～13授業週 〈3単位 実技〉
                田中桂太、中原俊三郎、守田文雄（非常勤講師）",工芸工業デザイン学科,田中　桂太、中原　俊三郎,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅤ,インダストリアルデザインⅤ,"インダストリアルデザインⅤ［3年］
                機能と造形
                10～13授業週 〈3単位 実技〉
                中原俊三郎、田中桂太、山下陽三郎",工芸工業デザイン学科,中原　俊三郎、田中　桂太、小倉　良介,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅤ,インダストリアルデザインⅤ,"インダストリアルデザインⅤ［3年］
                ライフスタイルデザイン
                1～ 5授業週 〈3単位 実技〉
                中原俊三郎、田中桂太、小倉良介",工芸工業デザイン学科,中原　俊三郎、田中　桂太、小倉　良介,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅤ,インダストリアルデザインⅤ,"インダストリアルデザインⅤ[３年]
                モビリティーデザイン・ゼミ
                (パッケージング応用編）
                5～9授業週〈３単位　実技〉
                稲田真一、服部幹",工芸工業デザイン学科,稲田　真一、服部　幹,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インダストリアルデザインⅤ,インダストリアルデザインⅤ,"インダストリアルデザインⅤ[３年]
                モビリティーデザイン・ゼミ
                (パッケージング応用編）
                10～13授業週〈３単位　実技〉
                稲田真一、服部幹",工芸工業デザイン学科,稲田　真一、服部　幹,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インテリアデザインⅡ,インテリアデザインⅡ,"インテリアデザインⅡ［2年］
                パーソナルスペースのデザイン（身体・行為・空間）
                20～23授業週 〈2単位 実技〉
                伊藤真一、山中一宏",工芸工業デザイン学科,伊藤　真一、山中　一宏,専門Ⅰ類,Ⅰ選,2.0,学部,2年,５.６期 2021/10/04-2021/11/27,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インテリアデザインⅢ,インテリアデザインⅢ,"インテリアデザインⅢ［2年］
                住空間デザイン
                24～27授業週 〈2単位 実技〉
                伊藤真一、山中一宏",工芸工業デザイン学科,伊藤　真一、山中　一宏,専門Ⅰ類,Ⅰ選,2.0,学部,2年,６.７期 2021/11/08-2021/12/18,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インテリアデザインⅣ,インテリアデザインⅣ,"インテリアデザインⅣ［3年］
                インテリアエレメントのデザイン
                1～7授業週 〈3単位 実技〉
                伊藤真一、山中一宏、倉本仁",工芸工業デザイン学科,伊藤　真一、山中　一宏、倉本　仁,専門Ⅰ類,Ⅰ選,3.0,学部,3年,１.２期 2021/04/12-2021/06/05,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,インテリアデザインⅤ,インテリアデザインⅤ,"インテリアデザインⅤ［3年］
                物販のデザイン
                8～13授業週 〈3単位 実技〉
                伊藤真一、山中一宏、山田尚弘",工芸工業デザイン学科,伊藤　真一、山中　一宏、山田　尚弘,専門Ⅰ類,Ⅰ選,3.0,学部,3年,２.３期 2021/05/10-2021/07/03,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅥ,クラフトデザインⅥ,"クラフトデザインⅥ［3年］
                金工（Site Specific）
                16〜21授業週 〈3単位 実技〉
                鈴木 洋、周防絵美子、高橋勇一郎",工芸工業デザイン学科,鈴木　洋、高橋　勇一郎、周防　絵美子,専門Ⅰ類,Ⅰ選,3.0,学部,3年,４.５期 2021/09/06-2021/10/23,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅥ,クラフトデザインⅥ,"クラフトデザインⅥ［3年］
                木工（アームチェア）
                16〜21授業週 〈3単位 実技〉
                十時啓悦、北川八十治",工芸工業デザイン学科,熊野　亘、北川　八十治,専門Ⅰ類,Ⅰ選,3.0,学部,3年,４.５期 2021/09/06-2021/10/23,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅥ,クラフトデザインⅥ,"クラフトデザインⅥ［3年］
                陶磁
                〈3単位 実技〉",工芸工業デザイン学科,西川　聡、岡本　玲子、田中　啓一,専門Ⅰ類,Ⅰ選,3.0,学部,3年,４.５期 2021/09/06-2021/10/23,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅥ,クラフトデザインⅥ,"クラフトデザインⅥ［3年］
                ガラス 表現技法研究Ⅲ（キルンワークⅣ）
                14～20授業週 〈3単位 実技〉
                大村俊二、近岡令、五十嵐智一",工芸工業デザイン学科,大村　俊二、近岡　令、五十嵐　智一,専門Ⅰ類,Ⅰ選,3.0,学部,3年,４.５期 2021/09/06-2021/10/23,集中,鷹の台
2021年度シラバス,造形学部-学科別・工芸工業デザイン学科,クラフトデザインⅥ,クラフトデザインⅥ,"クラフトデザインⅥ［3年］
                テキスタイル
                空間を隔てる布
                17～23授業週 〈3単位 実技〉",工芸工業デザイン学科,高橋　理子、徂徠　友香子、後藤　大樹、光主　あゆみ,専門Ⅰ類,Ⅰ選,3.0,学部,3年,４.５期 2021/09/06-2021/10/23,集中,鷹の台
